name,birthdate,num_games,overall_record,height,hit_pct,aces_per_game,serve_errors_per_game,blocks_per_game,digs_per_game,.cluster
Kerri Walsh Jennings,1978-08-15,1347,0.8760207869339273,75,0.5222058341527368,0.3615441722345954,0.4038604305864885,1.1774313288789904,3.0185597624350406,1
April Ross,1982-06-20,1233,0.7680454176804542,73,0.48097477554510476,1.0324412003244121,1.2749391727493917,0.3195458231954582,4.100567721005677,1
Jennifer Kessy,1977-07-31,1201,0.6894254787676936,72,0.4308092160719303,0.5487094088259784,1.0649458784346377,0.7985012489592007,3.623646960865945,1
Elaine Youngs,1970-02-14,971,0.7847579814624099,72,0.4748120625594055,1.1637487126673531,1.329557157569516,1.1266735324407826,3.196704428424305,1
Misty May-Treanor,1977-07-30,963,0.9023883696780893,69,0.47949921752738656,0.32502596053997923,0.26272066458982346,0.29179646936656284,6.155763239875389,2
Talita Antunes,1982-08-29,924,0.7510822510822511,71,0.4842381786339755,0.04112554112554113,0.06060606060606061,0.10930735930735931,0.24025974025974026,2
Nicole Branagh,1979-01-31,899,0.692992213570634,74,0.436310589483456,1.07119021134594,1.7096774193548387,0.646273637374861,4.904338153503893,1
Juliana Felisberta,1983-07-22,852,0.7934272300469484,70,0.48214285714285715,0.04460093896713615,0.03873239436619718,0.07746478873239436,0.18544600938967137,2
Lauren Fendrick,1982-03-20,850,0.5458823529411765,75,0.41110818173828984,0.5588235294117647,0.78117647058823525,1.0482352941176472,2.8117647058823527,1
Larissa Franca,1982-04-14,835,0.8383233532934131,69,0.4797619047619048,0.10538922155688622,0.13293413173652693,0.008383233532934131,0.5401197604790419,2
Maria Antonelli,1984-02-25,757,0.714663143989432,69,0.38957345971563984,0.10303830911492734,0.18361955085865259,0.009247027741083224,0.5561426684280053,2
Carolina Salgado,1987-08-06,731,0.6443228454172366,70,0.4774193548387097,0.058823529411764705,0.0560875512995896,0.06703146374829001,0.1094391244870041,2
Rachel Scott,1975-06-15,717,0.6582984658298466,68,0.40779775943396224,0.41143654114365413,0.7266387726638772,0.30404463040446306,7.193863319386332,1
Brittany Hochevar,1981-05-26,709,0.5528913963328632,72,0.4006086100420657,1.0789844851904091,1.5867418899858956,0.28067700987306066,6.173483779971791,1
Maria Clara Salgado,1983-05-06,704,0.6193181818181818,69,0.40054869684499317,0.13636363636363635,0.21875,0.01278409090909091,0.8863636363636364,2
Holly McPeak,1969-05-15,698,0.6934097421203438,67,0.3546455306032585,0.49570200573065903,0.5,0.06876790830945559,8.544412607449857,1
Angie Akers,1976-06-30,694,0.57636887608069165,72,0.43113663294139093,0.8242074927953891,1.2997118155619596,0.69164265129683,4.979827089337176,1
Tyra Turner,1976-07-21,690,0.6217391304347826,73,0.4017857142857143,0.7217391304347827,1.6188405797101448,1.2246376811594204,4.595652173913043,1
Vasiliki Arvaniti,1985-03-17,686,0.5349854227405247,72,0.4395833333333333,0.05830903790087463,0.10349854227405247,0.013119533527696793,0.27696793002915454,2
Laura Ludwig,1986-01-13,676,0.6701183431952663,70,0.4980392156862745,0.09467455621301775,0.1390532544378698,0.0014792899408284023,0.47485207100591714,2
Chen Xue,1989-02-18,660,0.7,75,0.4531422271223815,0.18636363636363637,0.1893939393939394,0.18787878787878787,0.2287878787878788,4
Nancy Reynolds,1970-11-24,647,0.598145285935085,69,0.37570921985815603,0.6754250386398764,0.9520865533230294,0.2287480680061824,7.528593508500773,1
Dianne DeNecochea,2067-11-16,645,0.6232558139534884,76,0.47191721305000395,1.2434108527131782,2.0155038759689923,2.0046511627906978,3.781395348837209,1
Annett Davis,1973-09-22,622,0.6672025723472669,71,0.4600146735143067,1.04983922829582,1.572347266881029,1.3054662379421222,6.421221864951768,1
Jenny Johnson Jordan,1973-06-08,611,0.6677577741407529,70,0.39642881390454204,0.5155482815057283,1.2700490998363339,0.6382978723404256,7.5220949263502455,1
Carrie Dodd,1974-05-19,603,0.5970149253731343,72,0.40494826810616286,0.6915422885572139,0.912106135986733,0.7014925373134329,6.104477611940299,1
Stefanie Schwaiger,1986-08-07,602,0.5149501661129569,72,0.5006587615283268,0.08637873754152824,0.11794019933554817,0.10631229235880399,0.21262458471760798,2
Xi Zhang,1985-04-19,587,0.6950596252129472,72,0.4309360730593607,0.15843270868824533,0.2708688245315162,0.0068143100511073255,1.2657580919931857,2
Jennifer Fopma,1981-10-30,584,0.5496575342465754,75,0.38383415349178096,0.7465753424657534,1.4503424657534247,1.4417808219178083,2.719178082191781,1
Emily Day,1987-08-09,569,0.5729349736379613,73,0.4236467654393428,0.6291739894551845,1.10896309314587,0.7328646748681898,3.0456942003514937,1
Marleen Van Iersel,1988-01-07,551,0.5716878402903811,71,0.47226386806596704,0.06533575317604355,0.1869328493647913,0,0.42105263157894735,2
Agatha Bednarczuk,1983-06-22,547,0.70018281535649,72,0.4781704781704782,0.06398537477148081,0.051188299817184646,0.062157221206581355,0.1480804387568556,2
Shelda Bede,1973-01-01,545,0.781651376146789,65,0.46495726495726497,0.06605504587155964,0.04954128440366973,0.001834862385321101,0.48256880733944957,2
Tatiana Minello,1970-03-01,545,0.6256880733944954,66,0.38854027363439975,1.2275229357798165,1.5908256880733944,0.07155963302752294,7.56697247706422,1
Sanne Keizer,1985-02-06,535,0.5420560747663551,71,0.45067264573991034,0.0616822429906542,0.11775700934579439,0.06542056074766354,0.12710280373831775,2
Summer Ross,1992-12-20,532,0.618421052631579,73,0.43739079790331975,0.42857142857142855,0.5488721804511278,0.6541353383458647,2.4022556390977443,1
Simone Kuhn,1980-09-02,529,0.504725897920605,72,0.46206896551724136,0.05103969754253308,0.07939508506616257,0.06427221172022685,0.1947069943289225,2
Maria Tsiartsiani,1980-10-21,526,0.4714828897338403,71,0.4516728624535316,0.022813688212927757,0.0779467680608365,0.08365019011406843,0.17300380228136883,2
Brooke Sweat,1986-03-27,513,0.5984405458089669,68,0.3700131521262604,0.35282651072124754,0.49122807017543857,0.01364522417153996,4.502923976608187,3
Ilka Semmler,1985-09-08,504,0.5972222222222222,72,0.4906054279749478,0.06547619047619048,0.07738095238095238,0.08134920634920635,0.14682539682539683,2
Ana Paula Henkel,1972-02-13,503,0.7117296222664016,72,0.466996699669967,0.17693836978131214,0.26043737574552683,0.16302186878727634,0.5049701789264414,2
Barbra Fontana,2065-09-08,499,0.6092184368737475,66,0.36566106499291356,0.5571142284569138,0.7434869739478958,0.050100200400801605,8.933867735470942,1
Brooke Niles,1981-03-11,499,0.5511022044088176,68,0.3432124158563949,0.9318637274549099,1.160320641282565,0.04008016032064128,10.150300601202405,1
Katrin Holtwick,1984-04-10,499,0.593186372745491,69,0.4043824701195219,0.04809619238476954,0.10020040080160321,0.002004008016032064,0.35070140280561124,2
Julia Sude,1987-09-02,497,0.579476861167002,73,0.3968957871396896,0.0482897384305835,0.07243460764587525,0.06841046277665996,0.1851106639839034,4
Marta Menegatti,1990-08-16,489,0.5930470347648262,71,0.44320297951582865,0.06748466257668712,0.08588957055214724,0.002044989775051125,0.4437627811860941,2
Elsa Baquerizo,1987-06-25,484,0.5619834710743802,71,0.4273972602739726,0.1115702479338843,0.10743801652892562,0.02066115702479339,0.5433884297520661,2
Priscilla Piantadosi-Lima,1979-12-19,478,0.5397489539748954,71,0.386852873154243,0.9497907949790795,1.5669456066945606,0.4895397489539749,7.855648535564853,1
Evgeniya Ukolova,1989-05-17,473,0.5200845665961945,72,0.4325153374233129,0.06553911205073996,0.19238900634249473,0.019027484143763214,0.37209302325581395,2
Liliana Fernandez,1987-01-04,471,0.5711252653927813,70,0.4707740916271722,0.059447983014861996,0.12101910828025478,0.10828025477707007,0.2632696390658174,2
Marketa Slukova,1988-06-28,468,0.6260683760683761,71,0.44242424242424244,0.06623931623931624,0.1047008547008547,0.05982905982905983,0.29914529914529914,2
Emilia Nystrom,1983-09-13,466,0.4206008583690987,70,0.3993174061433447,0.06866952789699571,0.06223175965665236,0.006437768240343348,0.20815450643776823,2
Jia Tian,1981-02-09,465,0.6709677419354839,70,0.4172661870503597,0.043010752688172046,0.06451612903225806,0.010752688172043012,0.24946236559139784,2
Erika Nystrom,1983-09-13,460,0.41739130434782606,70,0.3568627450980392,0.041304347826086954,0.06304347826086956,0.043478260869565216,0.08695652173913043,2
Doris Schwaiger,1985-02-28,458,0.5305676855895196,68,0.3694083694083694,0.1572052401746725,0.16375545851528384,0.002183406113537118,0.5545851528384279,3
Barbara Hansel,1983-09-18,451,0.43458980044345896,73,0.4,0.06430155210643015,0.08425720620842572,0.07317073170731707,0.07317073170731707,4
Madelein Meppelink,1989-11-29,448,0.5892857142857143,72,0.423728813559322,0.060267857142857144,0.10044642857142858,0.11830357142857142,0.12946428571428573,2
Adriana Behar,1969-02-14,447,0.785234899328859,71,0.6210526315789474,0.02237136465324385,0.03355704697986577,0.035794183445190156,0.21476510067114093,2
Renata Ribeiro,1981-12-07,441,0.6575963718820862,69,0.3273809523809524,0.027210884353741496,0.05668934240362812,0,0.06575963718820861,3
Nadine Zumkehr,1985-02-05,440,0.5386363636363637,68,0.39580209895052476,0.075,0.1318181818181818,0.00909090909090909,0.5272727272727272,2
Katie Jameson,1977-12-23,438,0.5228310502283106,66,0.3764859963731614,1.447488584474886,1.2716894977168949,0.05251141552511415,9.034246575342467,1
Taiana Lima,1984-05-27,434,0.6774193548387096,69,0.467005076142132,0.027649769585253458,0.03456221198156682,0.002304147465437788,0.21889400921658986,2
Natalie Cook,1975-01-19,431,0.6310904872389791,71,0.4172297297297297,0.048723897911832945,0.018561484918793503,0.03944315545243619,0.5777262180974478,2
