name,birthdate,height,hit_pct,aces_per_game,serve_errors_per_game,blocks_per_game,digs_per_game,.cluster
Jake Gibb,1976-02-06,79,0.4275849536616391,0.5583864118895966,0.8655343241330502,2.2689313517338996,1.7997169143665959,3
Phil Dalhausser,1980-01-26,81,0.5029173419773095,0.8864142538975501,1.5330363771343727,2.495916852264291,1.5916852264291017,3
Todd Rogers,1973-09-30,74,0.3962040332147094,0.22905027932960895,0.5434956105347167,0.08619313647246608,5.308858739026337,2
Sean Rosenthal,1980-06-19,76,0.38760061836984916,0.6707317073170732,1.4739837398373983,0.4073170731707317,5.8325203252032525,3
Nick Lucena,1979-09-22,73,0.35509385618002565,0.47852233676975947,1.193298969072165,0.06443298969072164,6.358247422680412,3
Ricardo Santos,1975-01-06,79,0.45364088647670736,0.10793357933579335,0.17988929889298894,0.3348708487084871,0.3339483394833948,4
John Hyden,1972-10-07,77,0.43364592213697073,0.7228915662650602,1.1877510040160641,0.1355421686746988,7.168674698795181,3
Emanuel Rego,1973-04-15,75,0.4525828835774865,0.049740932642487044,0.10984455958549223,0.02383419689119171,0.47461139896373056,1
Casey Jennings,1975-07-10,75,0.3864500306560392,0.38287752675386444,0.5755053507728894,0.089179548156956,8.04756242568371,3
Pedro Solberg,1986-03-27,76,0.46774193548387094,0.016270337922403004,0.0425531914893617,0.1414267834793492,0.1113892365456821,1
Matt Fuerbringer,1974-01-29,80,0.45396300506355275,0.36888331242158096,0.8657465495608532,2.641154328732748,1.7967377666248432,3
Pablo Herrera,1982-06-29,76,0.5316872427983539,0.039440203562340966,0.12849872773536897,0.178117048346056,0.27608142493638677,1
Marcio Araujo,1973-10-12,76,0.42992874109263657,0.04669260700389105,0.11284046692607004,0.010376134889753566,0.364461738002594,1
Casey Patterson,1980-04-20,78,0.45482212194354077,0.7150395778364116,1.3482849604221636,0.41952506596306066,3.742744063324538,3
Stein Metzger,1972-11-17,75,0.42476066548935776,0.3654353562005277,0.6781002638522428,0.23614775725593667,4.992084432717678,3
Kevin Wong,1972-09-12,79,0.4027777777777778,0.4973474801061008,0.9270557029177718,2.2254641909814326,2.6949602122015914,3
Sean Scott,1973-06-29,77,0.4214447252893442,0.5957446808510638,1.0186170212765957,2.6316489361702127,2.9069148936170213,3
Aleksandrs Samoilovs,1985-04-06,77,0.4190919674039581,0.025815217391304348,0.050271739130434784,0.07336956521739131,0.23505434782608695,1
Clemens Doppler,1980-09-06,79,0.48812351543942994,0.07746478873239436,0.15492957746478872,0.05352112676056338,0.24366197183098592,4
Alison Cerutti,1985-12-07,80,0.4448742746615087,0.06315789473684211,0.15639097744360902,0.36541353383458647,0.1443609022556391,4
Harley Marques,1974-07-06,76,0.4522417153996101,0.060092449922958396,0.08936825885978428,0.0030816640986132513,0.26348228043143296,1
John Mayer,1982-06-11,73,0.37565867754547,0.8142414860681114,1.8111455108359134,0.0804953560371517,8.08359133126935,3
Bruno Oscar Schmidt,1986-10-06,73,0.3716475095785441,0.06351791530944625,0.12214983713355049,0.0016286644951140066,0.44788273615635177,2
Adrian Gavira,1987-09-17,76,0.4316807738814994,0.06930693069306931,0.16501650165016502,0.0891089108910891,0.3778877887788779,1
Ed Ratledge,1976-12-16,80,0.41724597991714063,0.46243739565943237,1.5175292153589315,2.988313856427379,2.8797996661101837,3
Martins Plavins,1985-05-08,75,0.40993071593533487,0.03361344537815126,0.06386554621848739,0.018487394957983194,0.5294117647058824,1
Janis Smedins,1987-07-31,75,0.4696485623003195,0.04576271186440678,0.13220338983050847,0.1016949152542373,0.27627118644067794,1
