name,birthdate,num_games,overall_record,height,hit_pct,aces_per_game,serve_errors_per_game,blocks_per_game,digs_per_game
Jake Gibb,1976-02-06,1413,0.6871903750884643,79,0.4275849536616391,0.5583864118895966,0.8655343241330502,2.2689313517338996,1.7997169143665959
Phil Dalhausser,1980-01-26,1347,0.7921306607275427,81,0.5029173419773095,0.8864142538975501,1.5330363771343727,2.495916852264291,1.5916852264291017
Todd Rogers,1973-09-30,1253,0.727853152434158,74,0.3962040332147094,0.22905027932960895,0.5434956105347167,0.08619313647246608,5.308858739026337
Sean Rosenthal,1980-06-19,1230,0.6479674796747967,76,0.38760061836984916,0.6707317073170732,1.4739837398373983,0.4073170731707317,5.8325203252032525
Nick Lucena,1979-09-22,1164,0.6529209621993127,73,0.35509385618002565,0.47852233676975947,1.193298969072165,0.06443298969072164,6.358247422680412
Ricardo Santos,1975-01-06,1084,0.7361623616236163,79,0.45364088647670736,0.10793357933579335,0.17988929889298894,0.3348708487084871,0.3339483394833948
John Hyden,1972-10-07,996,0.6365461847389559,77,0.43364592213697073,0.7228915662650602,1.1877510040160641,0.1355421686746988,7.168674698795181
Emanuel Rego,1973-04-15,965,0.7813471502590673,75,0.4525828835774865,0.049740932642487044,0.10984455958549223,0.02383419689119171,0.47461139896373056
Casey Jennings,1975-07-10,841,0.6087990487514863,75,0.3864500306560392,0.38287752675386444,0.5755053507728894,0.089179548156956,8.04756242568371
Pedro Solberg,1986-03-27,799,0.6658322903629537,76,0.46774193548387094,0.016270337922403004,0.0425531914893617,0.1414267834793492,0.1113892365456821
Matt Fuerbringer,1974-01-29,797,0.6373902132998746,80,0.45396300506355275,0.36888331242158096,0.8657465495608532,2.641154328732748,1.7967377666248432
Pablo Herrera,1982-06-29,786,0.6068702290076335,76,0.5316872427983539,0.039440203562340966,0.12849872773536897,0.178117048346056,0.27608142493638677
Marcio Araujo,1973-10-12,771,0.7263294422827496,76,0.42992874109263657,0.04669260700389105,0.11284046692607004,0.010376134889753566,0.364461738002594
Casey Patterson,1980-04-20,758,0.6464379947229552,78,0.45482212194354077,0.7150395778364116,1.3482849604221636,0.41952506596306066,3.742744063324538
Stein Metzger,1972-11-17,758,0.6860158311345647,75,0.42476066548935776,0.3654353562005277,0.6781002638522428,0.23614775725593667,4.992084432717678
Kevin Wong,1972-09-12,754,0.6193633952254642,79,0.4027777777777778,0.4973474801061008,0.9270557029177718,2.2254641909814326,2.6949602122015914
Sean Scott,1973-06-29,752,0.6502659574468085,77,0.4214447252893442,0.5957446808510638,1.0186170212765957,2.6316489361702127,2.9069148936170213
Aleksandrs Samoilovs,1985-04-06,736,0.6086956521739131,77,0.4190919674039581,0.025815217391304348,0.050271739130434784,0.07336956521739131,0.23505434782608695
Clemens Doppler,1980-09-06,710,0.5169014084507042,79,0.48812351543942994,0.07746478873239436,0.15492957746478872,0.05352112676056338,0.24366197183098592
Alison Cerutti,1985-12-07,665,0.7593984962406015,80,0.4448742746615087,0.06315789473684211,0.15639097744360902,0.36541353383458647,0.1443609022556391
Harley Marques,1974-07-06,649,0.6687211093990755,76,0.4522417153996101,0.060092449922958396,0.08936825885978428,0.0030816640986132513,0.26348228043143296
John Mayer,1982-06-11,646,0.5773993808049536,73,0.37565867754547,0.8142414860681114,1.8111455108359134,0.0804953560371517,8.08359133126935
Bruno Oscar Schmidt,1986-10-06,614,0.7149837133550488,73,0.3716475095785441,0.06351791530944625,0.12214983713355049,0.0016286644951140066,0.44788273615635177
Adrian Gavira,1987-09-17,606,0.6287128712871287,76,0.4316807738814994,0.06930693069306931,0.16501650165016502,0.0891089108910891,0.3778877887788779
Ed Ratledge,1976-12-16,599,0.5125208681135225,80,0.41724597991714063,0.46243739565943237,1.5175292153589315,2.988313856427379,2.8797996661101837
Martins Plavins,1985-05-08,595,0.5294117647058824,75,0.40993071593533487,0.03361344537815126,0.06386554621848739,0.018487394957983194,0.5294117647058824
Janis Smedins,1987-07-31,590,0.6593220338983051,75,0.4696485623003195,0.04576271186440678,0.13220338983050847,0.1016949152542373,0.27627118644067794
Jeff Nygaard,1972-08-03,587,0.616695059625213,80,0.4179617336977743,0.4940374787052811,0.9233390119250426,3.020442930153322,2.3662691652470187
Benjamin Insfran,1972-04-14,585,0.6752136752136753,77,0.48494983277591974,0.010256410256410256,0.022222222222222223,0.07179487179487179,0.21367521367521367
Dax Holdren,1972-09-04,561,0.6185383244206774,75,0.3860759493670886,0.43672014260249553,0.661319073083779,0.49019607843137253,6.531194295900178
Billy Allen,1981-10-15,550,0.5618181818181818,74,0.38742857142857146,0.4036363636363636,0.7363636363636363,0.13818181818181818,7.325454545454545
Martin Laciga,1975-01-25,549,0.604735883424408,77,0.4259818731117825,0.0546448087431694,0.09107468123861566,0.07468123861566485,0.06557377049180328
Alexander Horst,1982-12-20,536,0.5055970149253731,73,0.4125,0.05037313432835821,0.12686567164179105,0.005597014925373134,0.47201492537313433
Julius Brink,1982-07-06,535,0.6934579439252336,73,0.4677871148459384,0.07850467289719626,0.19065420560747665,0.001869158878504673,0.4785046728971963
Brad Keenan,1981-08-10,533,0.5666041275797373,80,0.40276012347920825,1.1388367729831144,2.617260787992495,2.7861163227016887,1.320825515947467
Jonas Reckermann,1979-05-26,526,0.6958174904942965,79,0.5397301349325337,0.0817490494296578,0.15019011406844107,0.24524714828897337,0.13688212927756654
Patrick Heuscher,1976-12-22,520,0.5865384615384616,76,0.4605678233438486,0.038461538461538464,0.10961538461538461,0.10961538461538461,0.24423076923076922
Sascha Heyer,1972-07-21,517,0.5512572533849129,80,0.4704724409448819,0.0425531914893617,0.07736943907156674,0.11411992263056092,0.13539651837524178
Grzegorz Fijalek,1987-05-11,511,0.6281800391389433,73,0.483695652173913,0.03718199608610567,0.06653620352250489,0.0019569471624266144,0.3385518590998043
Adam Roberts,1976-01-25,503,0.4731610337972167,73,0.30471887550200805,0.20675944333996024,0.35984095427435386,0.1709741550695825,5.230616302186879
Franco Neto,2066-11-11,499,0.6673346693386774,76,0.6363636363636364,0.01002004008016032,0,0.026052104208416832,0.052104208416833664
Mariano Baracetti,1974-07-12,499,0.6032064128256514,76,0.40229885057471265,0.012024048096192385,0.036072144288577156,0.02004008016032064,0.07615230460921844
Dmitri Barsouk,1980-01-20,496,0.5483870967741935,75,0.4191343963553531,0.02620967741935484,0.004032258064516129,0.012096774193548387,0.21975806451612903
Reinder Nummerdor,1976-09-10,481,0.6632016632016632,76,0.4701086956521739,0.04158004158004158,0.11226611226611227,0.002079002079002079,0.6029106029106029
Matt Olson,1980-01-02,478,0.5585774058577406,74,0.38995098039215687,0.50418410041841,0.7322175732217573,0.8828451882845189,8.981171548117155
Mariusz Prudel,1986-01-21,476,0.5903361344537815,75,0.44419134396355353,0.031512605042016806,0.05042016806722689,0.15756302521008403,0.15546218487394958
Paolo Nicolai,1988-08-06,474,0.6181434599156118,80,0.47671840354767187,0.08438818565400844,0.24261603375527427,0.25949367088607594,0.10970464135021098
Iver Horrem,1977-01-01,471,0.4033970276008493,75,0.41700404858299595,0.01910828025477707,0.09341825902335456,0.012738853503184714,0.16772823779193205
Pedro Cunha,1983-06-10,462,0.6926406926406926,74,0.5097087378640777,0.012987012987012988,0.03896103896103896,0,0.15151515151515152
Mark Williams,1979-01-27,460,0.5782608695652174,79,0.42296167796877465,0.4326086956521739,0.7782608695652173,2.5652173913043477,2.582608695652174
Paul Baxter,1972-02-01,458,0.5065502183406113,77,0.37041978856615004,0.5676855895196506,1.0043668122270741,0.5938864628820961,7.152838427947598
Ty Loomis,1979-05-01,453,0.4966887417218543,75,0.3808778961775345,1.4635761589403973,2.6953642384105962,0.7880794701986755,6.635761589403973
Fabio Luiz Magalhaes,1979-03-13,451,0.6962305986696231,80,0.37789203084832906,0.008869179600886918,0.03547671840354767,0.13082039911308205,0.015521064301552107
Tarjei Skarlund,1978-11-06,451,0.44789356984478934,75,0.41923076923076924,0.03547671840354767,0.10864745011086474,0.013303769401330377,0.22838137472283815
Ryan Doherty,1984-02-02,443,0.5869074492099323,85,0.45765386638611255,0.708803611738149,1.5440180586907448,1.8848758465011286,1.0677200902934538
Theo Brunner,1985-03-17,439,0.5694760820045558,79,0.4298865339327767,0.3439635535307517,0.7699316628701595,2.079726651480638,1.1389521640091116
Rivo Vesik,1980-07-15,438,0.5114155251141552,78,0.4318181818181818,0.0410958904109589,0.06621004566210045,0.0547945205479452,0.1232876712328767
David Klemperer,1980-06-22,437,0.5743707093821511,74,0.3561946902654867,0.02517162471395881,0.06636155606407322,0.002288329519450801,0.2631578947368421
Alexander Brouwer,1989-11-03,435,0.6482758620689655,78,0.5031152647975078,0.0896551724137931,0.20229885057471264,0.0022988505747126436,0.4804597701149425
Jorre Kjemperud,2068-08-31,434,0.49078341013824883,74,0.44329896907216493,0.03917050691244239,0.07834101382488479,0.02534562211981567,0.2695852534562212
Jakub Szalankiewicz,1989-05-03,432,0.4861111111111111,75,0.3486238532110092,0.018518518518518517,0.046296296296296294,0.013888888888888888,0.19907407407407407
Dain Blanton,1971-11-28,430,0.5488372093023256,75,0.3731267029972752,0.6558139534883721,1.3162790697674418,0.28604651162790695,5.32093023255814
Linyin Xu,1986-03-20,430,0.5976744186046512,79,0.40310077519379844,0.044186046511627906,0.08837209302325581,0.17674418604651163,0.13023255813953488
Martin Conde,1971-08-25,429,0.6386946386946387,73,0.46308724832214765,0.002331002331002331,0.013986013986013986,0.002331002331002331,0.06526806526806526
Jonathan Erdmann,1988-03-12,428,0.5607476635514018,76,0.3911917098445596,0.07476635514018691,0.18925233644859812,0.20794392523364486,0.1261682242990654
Fred Souza,1972-05-13,422,0.5734597156398105,79,0.3922449658845066,1.8246445497630333,3.1066350710900474,2.075829383886256,2.514218009478673
Jason Lochhead,1984-03-12,420,0.48333333333333334,70,0.30962643678160917,0.13095238095238096,0.319047619047619,0.002380952380952381,1.2476190476190476
Kay Matysik,1980-06-18,417,0.5611510791366906,75,0.42028985507246375,0.0671462829736211,0.1342925659472422,0.002398081534772182,0.4172661870503597
Robert Meeuwsen,1988-03-21,414,0.6594202898550725,81,0.5507518796992481,0.07729468599033816,0.25120772946859904,0.2632850241545894,0.11352657004830918
Joshua Slack,1976-12-16,413,0.5375302663438256,75,0.5179153094462541,0.053268765133171914,0.08958837772397095,0.07021791767554479,0.10411622276029056
Katsuhiro Shiratori,1976-10-29,409,0.4572127139364303,75,0.3364485981308411,0.017114914425427872,0.08801955990220049,0.0024449877750611247,0.17603911980440098
Daniele Lupo,1991-05-06,407,0.6609336609336609,77,0.48356164383561645,0.029484029484029485,0.11302211302211303,0.009828009828009828,0.4643734643734644
Eric Fonoimoana,1969-06-07,401,0.5885286783042394,75,0.40661848611639406,0.4314214463840399,0.7381546134663342,0.8753117206982544,4.309226932668329
Raul Mesa,1982-04-16,401,0.4613466334164589,75,0.3525835866261398,0.017456359102244388,0.0399002493765586,0.04738154613466334,0.13466334164588528
Mike Lambert,1974-04-14,396,0.7222222222222222,78,0.44601375209068944,0.75,1.8762626262626263,4.26010101010101,2.234848484848485
Aaron Wachtfogel,1981-11-08,388,0.5360824742268041,73,0.36840960974018916,0.9484536082474226,2.966494845360825,0.10824742268041238,9.626288659793815
Ryan Mariano,1976-04-01,385,0.5194805194805194,75,0.3775607432110529,0.948051948051948,1.0857142857142856,0.14805194805194805,10.633766233766234
Ben Saxton,1988-11-21,383,0.5143603133159269,79,0.45918367346938777,0.06527415143603134,0.21409921671018275,0.19321148825065274,0.20365535248041775
Larry Witt,1979-07-13,382,0.581151832460733,78,0.40863072639838016,0.6910994764397905,1.5628272251308901,1.8193717277486912,4.861256544502618
Evandro Goncalves,1990-07-17,381,0.6482939632545932,83,0.4869281045751634,0.12073490813648294,0.2204724409448819,0.12073490813648294,0.2230971128608924
Penggen Wu,1982-05-07,377,0.5862068965517241,78,0.4260869565217391,0.01856763925729443,0.07427055702917772,0.015915119363395226,0.38992042440318303
Anthony Medel,1978-03-28,372,0.5188172043010753,75,0.3649154657891751,1.3333333333333333,2.4731182795698925,0.3279569892473118,7.553763440860215
Tri Bourne,1989-06-20,370,0.6378378378378379,77,0.430849601319769,0.3918918918918919,1.0513513513513513,1.3405405405405406,1.1945945945945946
